,City,ST,2022 estimate,2020 census,Change,2020 land area,2020 land area,2020 density,2020 density,Location
1,New York[c],NY,"8,335,897","8,804,190",−5.32%,300.5,778.3,"29,298","11,312",40.66°N 73.94°W
2,Los Angeles,CA,"3,822,238","3,898,747",−1.96%,469.5,"1,216.00","8,304","3,206",34.02°N 118.41°W
3,Chicago,IL,"2,665,039","2,746,388",−2.96%,227.7,589.7,"12,061","4,657",41.84°N 87.68°W
4,Houston,TX,"2,302,878","2,304,580",−0.07%,640.4,"1,658.60","3,599","1,390",29.79°N 95.39°W
5,Phoenix,AZ,"1,644,409","1,608,139",0.0226,518,"1,341.60","3,105","1,199",33.57°N 112.09°W
6,Philadelphia[d],PA,"1,567,258","1,603,797",−2.28%,134.4,348.1,"11,933","4,607",40.01°N 75.13°W
7,San Antonio,TX,"1,472,909","1,434,625",0.0267,498.8,"1,291.90","2,876","1,110",29.46°N 98.52°W
8,San Diego,CA,"1,381,162","1,386,932",−0.42%,325.9,844.10,"4,256","1,643",32.81°N 117.14°W
9,Dallas,TX,"1,299,544","1,304,379",−0.37%,339.6,879.6,"3,841","1,483",32.79°N 96.77°W
10,Austin,TX,"974,447","961,855",0.0131,319.9,828.50,"3,007","1,161",30.30°N 97.75°W
11,Jacksonville[e],FL,"971,319","949,611",0.0229,747.3,"1,935.50","1,271",491,30.34°N 81.66°W
12,San Jose,CA,"971,233","1,013,240",−4.15%,178.3,461.8,"5,683","2,194",37.30°N 121.81°W
13,Fort Worth,TX,"956,709","918,915",0.0411,347.3,899.5,"2,646","1,022",32.78°N 97.35°W
14,Columbus,OH,"907,971","905,748",0.0025,220,569.80,"4,117","1,590",39.99°N 82.99°W
15,Charlotte,NC,"897,720","874,579",0.0265,308.3,798.5,"2,837","1,095",35.21°N 80.83°W
16,Indianapolis[f],IN,"880,621","887,642",−0.79%,361.6,936.5,"2,455",948,39.78°N 86.15°W
17,San Francisco[g],CA,"808,437","873,965",−7.50%,46.9,121.5,"18,635","7,195",37.73°N 123.03°W
18,Seattle,WA,"749,256","737,015",0.0166,83.8,217,"8,795","3,396",47.62°N 122.35°W
19,Denver[h],CO,"713,252","715,522",−0.32%,153.1,396.5,"4,674","1,805",39.76°N 104.88°W
20,Oklahoma City,OK,"694,800","681,054",0.0202,606.2,"1,570.10","1,123",434,35.47°N 97.51°W
